"Title","Abstract","Keywords","Authors","Journal","DOI","URL"
"A11","The global impact of science gateways, virtual research environments and virtual laboratories","Science gateways, virtual laboratories and virtual research environments are all terms used to refer to community-developed digital environments that are designed to meet a set of needs for a research community. Specifically, they refer to integrated access to research community resources including software, data, collaboration tools, workflows, instrumentation and high-performance computing, usually via Web and mobile applications. Science gateways, virtual laboratories and virtual research environments are enabling significant contributions to many research domains, facilitating more efficient, open, reproducible research in bold new ways. This paper explores the global impact achieved by the sum effects of these programs in increasing research impact, demonstrates their value in the broader digital landscape and discusses future opportunities. This is evidenced through examination of national and international programs in this field.","Science gateways,Virtual research environments,Virtual laboratories,Open science,e-infrastructure,Cyberinfrastructure","MichelleBarkera,Silvia DelgadoOlabarriagab,NancyWilkins-Diehrc,SandraGesingd,Daniel S.Katze,ShayanShahandf,ScottHenwoodg,TristanGlatardh,KeithJefferyi,BrianCorriejk,AndrewTreloarl,HelenGlavesm,LesleyWybornn,Neil P. ChueHongo,AlessandroCostap","Future Generation Computer Systems","https://doi.org/10.1016/j.future.2018.12.026","https://www.sciencedirect.com/science/article/pii/S0167739X18314018"
"A12","Role of subjective and objective measures of cognitive processing during learning in explaining the spatial contiguity effect","The main objective of this study was to investigate the potential of combining subjective and objective measures of learning process to uncover the mechanisms underlying the spatial contiguity effect in multimedia learning. The subjective measures of learning process were self-reported cognitive load ratings and the objective measures were eye-tracking and EEG measures. Learning outcome was measured by scores on retention and transfer posttests. A sample of 78 university students participated in a between-subjects design in which a multimedia slideshow lesson on how lightning storms develop was presented either with printed text as a caption at the bottom of each illustration (separated presentation) or with printed text placed next to the corresponding part of each illustration (integrated presentation). Regarding spatial contiguity, the integrated group spent significantly more time looking at the text (d<U+202F>=<U+202F>0.64), but significantly less time looking at irrelevant illustrations (d<U+202F>=<U+202F>1.10), and reported a significantly lower level of extraneous load (d<U+202F>=<U+202F>0.57), compared to the separated group. As expected, they also scored significantly higher on the transfer test (d<U+202F>=<U+202F>0.49). Students who performed best on posttests reported a lower level of extraneous load (d<U+202F>=<U+202F>0.56). Furthermore, EEG based alpha band activity was predictive of intrinsic cognitive load but not predictive of extraneous cognitive load, and EEG based theta activity was not predictive of intrinsic or extraneous load. The results suggest that subjective and objective measures of cognitive load can provide different information to test the theoretical mechanisms involved in multimedia learning.","Spatial contiguity,EEG,Eye tracking,Cognitive load,Multimedia learning","GuidoMakranskya,Thomas S.Terkildsena,Richard E.Mayerb","Learning and Instruction","https://doi.org/10.1016/j.learninstruc.2018.12.001","https://www.sciencedirect.com/science/article/pii/S0959475218303797"
"A13","Human intention estimation based on hidden Markov model motion validation for safe flexible robotized warehouses","With the substantial growth of logistics businesses the need for larger warehouses and their automation arises, thus using robots as assistants to human workers is becoming a priority. In order to operate efficiently and safely, robot assistants or the supervising system should recognize human intentions in real-time. Theory of Mind (ToM) is an intuitive human conception of other humans’ mental state, i.e., beliefs and desires, and how they cause behavior. In this paper we propose a ToM based human intention estimation algorithm for flexible robotized warehouses. We observe human’s, i.e., worker’s motion and validate it with respect to the goal locations using generalized Voronoi diagram based path planning. These observations are then processed by the proposed hidden Markov model framework which estimates worker intentions in an online manner, capable of handling changing environments. To test the proposed intention estimation we ran experiments in a real-world laboratory warehouse with a worker wearing Microsoft Hololens augmented reality glasses. Furthermore, in order to demonstrate the scalability of the approach to larger warehouses, we propose to use virtual reality digital warehouse twins in order to realistically simulate worker behavior. We conducted intention estimation experiments in the larger warehouse digital twin with up to 24 running robots. We demonstrate that the proposed framework estimates warehouse worker intentions precisely and in the end we discuss the experimental results.","Human intention estimation,Hidden Markov model,Virtual reality,Theory of Mind","TomislavPetkovica,DavidPuljizb,IvanMarkovica,BjörnHeinb","Robotics and Computer-Integrated Manufacturing","https://doi.org/10.1016/j.rcim.2018.11.004","https://www.sciencedirect.com/science/article/pii/S0736584518302965"
"A14","Developing a government enterprise architecture framework to support the requirements of big and open linked data with the use of cloud computing","Governmental and local authorities are facing many new information and communication technologies challenges. The amount of data is rapidly increasing. The data sets are published in different formats. New services are based on linking and processing differently structured data from various sources. Users expect openness of public data, fast processing, and intuitive visualisation. The article addresses the challenges and proposes a new government enterprise architecture framework. The following partial architectures are included: big and open linked data storage, processing, and publishing using cloud computing. At first, the key concepts are defined. Next, the basic architectural roles and components are specified. The components result from the decomposition of related frameworks. The main part of the article deals with the detailed proposal of the architecture framework and partial views on architecture (sub-architectures). A methodology, including a proposal of appropriate steps, solutions and responsibilities for them, is described in the next step - after the verification and validation of the new framework with respect to the attributes of quality. The new framework responds to emerging ICT trends in order to evolve government enterprise architecture continually and represent current architectural components and their relationships.","Government enterprise architecture framework,Design science research,Big data,Open linked data,Cloud computing,Quality attributes,ATAM,Methodology","MartinLnenicka,JitkaKomarkova","International Journal of Information Management","https://doi.org/10.1016/j.ijinfomgt.2018.12.003","https://www.sciencedirect.com/science/article/pii/S0268401218305942"
"A15","The use of next generation sequencing for improving food safety: Translation into practice","Next Generation Sequencing (NGS) combined with powerful bioinformatic approaches are revolutionising food microbiology. Whole genome sequencing (WGS) of single isolates allows the most detailed comparison possible hitherto of individual strains. The two principle approaches for strain discrimination, single nucleotide polymorphism (SNP) analysis and genomic multi-locus sequence typing (MLST) are showing concordant results for phylogenetic clustering and are complementary to each other. Metabarcoding and metagenomics, applied to total DNA isolated from either food materials or the production environment, allows the identification of complete microbial populations. Metagenomics identifies the entire gene content and when coupled to transcriptomics or proteomics, allows the identification of functional capacity and biochemical activity of microbial populations.The focus of this review is on the recent use and future potential of NGS in food microbiology and on current challenges. Guidance is provided for new users, such as public health departments and the food industry, on the implementation of NGS and how to critically interpret results and place them in a broader context. The review aims to promote the broader application of NGS technologies within the food industry as well as highlight knowledge gaps and novel applications of NGS with the aim of driving future research and increasing food safety outputs from its wider use.","Next generation sequencing,Whole genome sequencing,Metabarcoding,Metagenomics,Food safety and quality,Microbiology,Implementation,Data sharing","BalamuruganJagadeesana,PeterGerner-Smidtb,Marc W.Allardc,SébastienLeuilletd,AnettWinklere,YinghuaXiaof,SamuelChaffrong,JosVan Der Vossenh,SilinTangi,MitsuruKatasej,PeterMcClurek,BonKimural,LayChing Chaim,JohnChapmann,KathieGranto","Food Microbiology","https://doi.org/10.1016/j.fm.2018.11.005","https://www.sciencedirect.com/science/article/pii/S0740002018305306"
"A16","Proactive management of SLA violations by capturing relevant external events in a Cloud of Things environment","The cloud of things (CoT) is an emerging paradigm that has merged and combined cloud computing and the Internet of Things (IoT). Such a paradigm has enabled service providers to provide on-demand computing resources from devices spread across different locations for service users to be dynamically connected to them. While this benefits the CoT service providers and users in many ways, it also brings a key challenge of ensuring that the service is delivered according to the promised quality. Failure to ensure this will result in the service provider experiencing penalties of different types and the service user experiencing disruptions. The literature addresses this problem by proactively managing for SLA violations. However, given the geographically dispersed region of a formed CoT service, in this paper we argue that for proactive SLA violation identification, we need specialized techniques that also consider events that are outside the usual control of service providers and users, but will impact the CoT environment and the quality of service. We propose a framework that identifies such external events of interest and ascertains their impact on achieving the service according to the promised quality. We explain the working of our proposed framework in detail and demonstrate its superiority in proactively determining SLA violations as compared to existing approaches.","Cloud of things,SLA violation,Proactive management,External events,Internal events","FalakNawaza,OmarHussaina,Farookh KhadeerHussainb,Naeem KhalidJanjuac,MortezaSaberia,ElizabethChanga","Future Generation Computer Systems","https://doi.org/10.1016/j.future.2018.12.034","https://www.sciencedirect.com/science/article/pii/S0167739X18318065"
"A17","Graph-based ontology reasoning for formal verification of BREEAM rules","Globally, the need to check regulation compliance for sustainability has become central in the delivery of construction projects. This is partly due to policies by various governments requiring existing and new buildings to comply with certain standards or regulations. However, the verification of whether a building complies with any particular standard or regulation has proven challenging in practice. The purpose of formal verification is to prove that under a certain set of assumptions, a building will adhere to a certain set of requirements, for example the minimum performance standards of key environmental issues. Compliance checking requires different criteria often difficult to straightforwardly define and combine in an integrated fashion for providing holistic interpretation to facilitate easy decision-making. Such criteria, their various flows and combinations can easily be dealt with using conceptual graph theories and Semantic Web concepts which allow rules to be imbued to facilitate reasoning. The aim of this study is to tap on conceptual graphs and Semantic Web concepts to develop a system for checking Building Research Establishment Environmental Assessment Methodology (BREEAM) sustainability standard compliance in the French construction industry. A conceptual graph-based framework that formally describes BREEAM requirements and visually analyse compliance checking processes has been proposed. When implemented in a software that integrates conceptual graphs and Semantic Web knowledge, automatic reasoning allows both the logical specification and the visual interpretation to be displayed and further provides a semantic support for compliance checking information.","Data,Information,Knowledge,Reasoning,Building,Sustainability","B.Kamsu-Foguema,F.H.Abandab,M.B.Doumbouyaa,J.F.Tchouanguema","Cognitive Systems Research","https://doi.org/10.1016/j.cogsys.2018.12.011","https://www.sciencedirect.com/science/article/pii/S1389041718301608"
"A18","Heat-induced aggregation and gelation of proteins from edible honey bee brood (Apis mellifera) as a function of temperature and pH","Edible insects offer a huge potential as a new source of proteins for food and feed and as a promising functional agent. In this regard, our study aimed to evaluate the effect of pH and temperature on aggregation and gelation of honey bee brood (Apis mellifera). Aggregation of soluble proteins was dependent on temperature and pH value and the highest coagulation was reached at 85<U+202F>°C at pH 5 and 7 (73.7 and 68.4%, respectively). Changes in protein surface hydrophobicity, net charge and amount of available and buried sulfhydryl groups demonstrated the contribution of either covalent or non-covalent intermolecular interactions resulted in aggregation at various pH. The least gelation concentration of raw powder from honey bee brood varied from 5 to 11% on raw powder basis at pH 7 and 3, respectively. Moreover, the effect of pH on rheological and textural properties, as well as gel microstructure from honey bee brood is discussed. Therefore, freeze dried raw powder of honey bee brood has rich nutritional value and demonstrated gelation concentration comparable to conventional protein sources that reveal its potential as an ingredient for insect-based gel product.","Edible insects,Apis mellifera,Gel,Coagulation,Protein,Novel food","MaryiaMishynaab,Jean-Jacques ItzhakMartinezcd,JiansheChena,MayaDavidovich-Pinhase,OfirBenjaminb","Food Hydrocolloids","https://doi.org/10.1016/j.foodhyd.2019.01.017","https://www.sciencedirect.com/science/article/pii/S0268005X18319374"
"A19","Cloud-based manufacturing equipment and big data analytics to enable on-demand manufacturing services","Making manufacturing as on-demand cloud services is a transformative paradigm to achieve the required business flexibility in the context of Industry 4.0 via enabling rapid configuration of loosely-connected manufacturing devices to develop highly customized products. The research in this paper aimed to fill the gap that there is a lack of a feasible solution for cloud-based manufacturing equipment that can provide on-demand manufacturing services accessible via the Internet. The technical challenges in developing cloud-based manufacturing equipment and the enabling technologies are discussed. A generic system architecture for cloud-based manufacturing equipment based on cyber-physical production systems and big data analytics is proposed, allowing manufacturing equipment to be connected to the cloud and made available for the provision of on-demand manufacturing services. An industry implementation in a world-leading machinery solution provider confirms that the proposed system architecture for cloud-based manufacturing equipment can successfully enable on-demand manufacturing services provisioned via the Internet and can be extended to businesses that endeavor to transform legacy production systems into cloud-based cyber-physical production systems.","Cloud manufacturing,Cyber-physical production system,Big data analytics,Industry 4.0,Digital twin","YuqianLu1,XunXu2","Robotics and Computer-Integrated Manufacturing","https://doi.org/10.1016/j.rcim.2018.11.006","https://www.sciencedirect.com/science/article/pii/S0736584518302801"
"A20","Calibration of capacitance sensor for Andosol under field and laboratory conditions in the temperate monsoon climate","Capacitance sensors (CS) were developed to continuously measure soil water content using the dielectric properties of soils. Although CS are calibrated in soils of various types, the default calibrated functions may not work for all conditions as in the case of this soil that has high organic matter content, hence, soil-specific calibrations are sometimes required to achieve reasonable accuracy. This study (1) evaluated the suitability of the default calibrated functions of a Decagon 5<U+2009>T<U+2009>M CS for Andosol (Kuroboku), and (2) derived soil-specific calibration functions to Andosol. A field monitoring experiment was conducted at Sakaecho (western suburb of Tokyo) from August 2016 to July 2017, where volumetric soil water content (<U+03B8>v) was measured in bare field and repacked soils using both gravimetric method with oven drying and CS installed at 5<U+2009>cm depth. The values of <U+03B8>v monitored using soil cores sampled from the field under natural condition and CS revealed large errors under both field and laboratory conditions when the default factory supplied calibration function (FSC) was used. The deviations depicted significant (P<U+2009><<U+2009>0.001) underestimations of the observed <U+03B8>v measured in soil cores by 0.117 - 0.199 and -0.004 - 0.131<U+2009>cm3<U+2009>cm-3 for field and laboratory conditions, respectively. Accordingly, soil-specific calibration functions were developed by correlating the dielectric permittivity of the soil with <U+03B8>v measured from the soil core samples. The <U+03B8>v recalculated based on the site-specific calibration function under field condition best fitted to the observed <U+03B8>v. Calibration of CS improved the <U+03B8>v measurement error from 15% with FSC to = ±2%. Whereas the improvement with laboratory calibration was from ±15% with FSC to ±4% when the function was implemented to the field measured data, hence, it still underestimated the observed field <U+03B8>v. The deviation between the field and laboratory procedures was attributed to the deformation of the well-aggregated soil structure and its consequent changes in hydraulic properties due to crushing when a 2-mm sieve was used for sample preparation. Quasi-field calibration of the 5<U+2009>T<U+2009>M CS under natural condition is highly recommended for real-time monitoring of <U+03B8>v in Andosol. In cases when field calibration is impractical, laboratory calibration further verified with field data could also offer a reliable method for calibration of the 5<U+2009>T<U+2009>M CS for Andosols.","Calibration,Capacitance sensor,Andosol (Kuroboku),Soil water content","Kassu TadesseKassayeab,JulienBoulangec,HirotakaSaitoa,HirozumiWatanabea","Soil and Tillage Research","https://doi.org/10.1016/j.still.2018.12.020","https://www.sciencedirect.com/science/article/pii/S0167198718306226"
"A21","A systematic examination of knowledge loss in open source software projects","Context Open Source Software (OSS) development is a knowledge focused activity which relies heavily on contributors who can be volunteers or paid workers and are geographically distributed. While working on OSS projects contributors acquire project related individualistic knowledge and gain experience and skills, which often remains unshared with others and is usually lost once contributors leave a project. All software development organisations face the problem of knowledge loss as employees leave, but this situation is exasperated in OSS projects where most contributors are volunteers with largely unpredictable engagement durations. Contributor turnover is inevitable due to the transient nature of OSS project workforces causing knowledge loss, which threatens the overall sustainability of OSS projects and impacts negatively on software quality and contributor productivity.,ObjectiveThe objective of this work is to deeply and systematically investigate the phenomenon of knowledge loss due to contributor turnover in OSS projects as presented in the state-of-the-art literature and to synthesise the information presented on the topic. Furthermore, based on the learning arising from our investigation it is our intention to identify mechanisms to reduce the overall effects of knowledge loss in OSS projects.,MethodologyWe use the snowballing methodology to identify the relevant literature on knowledge loss due to contributor turnover in OSS projects. This robust methodology for a literature review includes research question, search strategy, inclusion, exclusion, quality criteria, and data synthesis. The search strategy, and inclusion, exclusions and quality criteria are applied as a part of snowballing procedure.Snowballing is considered an efficient and reliable way to conduct a systematic literature review, providing a robust alternative to mechanically searching individual databases for given topics.,ResultKnowledge sharing in OSS projects is abundant but there is no evidence of a formal strategy or practice to manage knowledge. Due to the dynamic and diverse nature of OSS projects, knowledge management is considered a challenging task and there is a need for a proactive mechanism to share knowledge in the OSS community for knowledge to be reused in the future by the OSS project contributors. From the collection of papers found using snowballing, we consolidated various themes on knowledge loss due to contributor turnover in OSS projects and identified 11 impacts due to knowledge loss in OSS projects, and 10 mitigations to manage with knowledge loss in OSS projects.,ConclusionIn this paper, we propose future research directions to investigate integration of proactive knowledge retention practices with the existing OSS practices to reduce the current knowledge loss problem. We suggest that there is insufficient attention paid to KM in general in OSS, in particular there would appear to an absence of proactive measures to reduce the potential impact of knowledge loss. We also propose the need for a KM evaluation metric in OSS projects, similar to the ones that evaluate health of online communities, which should help to inform potential consumers of the OSS of the KM status on a project, something that is not existent today.","Open Source Software,Knowledge loss,Contributor turnover,Knowledge retention,Knowledge loss impact,Knowledge Management","MehvishRashidab,Paul M.Clarkeab,Rory V.O’Connorab","International Journal of Information Management","https://doi.org/10.1016/j.ijinfomgt.2018.11.015","https://www.sciencedirect.com/science/article/pii/S0268401217310095"
"A22","Essence of digital transformation—Manifestations at large financial institutions from North America","There is focus among most leading academic institutions globally to understand digital transformation. While most operate on some common premise related with the construct of digital transformation there is no established definition yet. Existing descriptions cover a wide range of things from smart living, future of work, automation, industry convergence, and technology among others. These are sometimes fairly all encompassing, inconsistent and incomparable as a point of reference. Interestingly, major consulting firms, technology promoters, independent influencers, analysts promote transformation solutions, each with their own models, interpretation and descriptions.In the paper, we develop an understanding on what is the nature of demand for digital transformation. This is based on evidences of narratives from large financial institutions. We scoped our study on four large banks in North America to see — is there an essence of transformation when institutions adopt digital technology? The paper deals on key themes — drivers, benefits, perception of digital transformation, readiness of banks and deployment instances. Understanding how large financial institutions are adopting digital technologies is important for contemporary technology providers, institutions, researchers and analysts.The study conducted is qualitative along with associated quantitative techniques and visual analytics. This is achieved by theme-based narrative analysis of the public disclosures from four large North American Banks across five years (FY’13–FY’17). The research analyzes the relevant narratives from annual reports to code them into logical themes thereby providing a view of the key focus and associations. Analyzing the practices and manifestations of the institutions this research classifies standard and more advanced differentiating practices. This leads to an emergent structure for a Digital Transformation Maturity Model (DTMM). The authors believe these will serve as indicative maturity guidance for digital technology adoption by financial institutions, in similar context and will also be beneficial to technology providers.","","Himadri SikharPramanika,ManishKirtaniaa,Ashis K.Panib","Future Generation Computer Systems","https://doi.org/10.1016/j.future.2018.12.003","https://www.sciencedirect.com/science/article/pii/S0167739X18308951"
"A23","Expansin assisted bio-affinity immobilization of endoxylanase from Bacillus subtilis onto corncob residue: Characterization and efficient production of xylooligosaccharides","A one-step method to immobilize xylanase onto cellulosic material by fusion of expansin from Bacillus subtilis to xylanase LC9 without the requirement of prior purification of enzyme has been developed. Fusion enzyme EXLX-R2-XYN was specifically adsorbed onto corncob residue with high loading capacity due to bio-affinity adsorption of expansin onto cellulose. The immobilization yield was close to 100%, with a recovered activity of 82.4%. The immobilized EXLX-R2-XYN retained 45.3% of its activity after incubation at 70<U+202F>°C for 3<U+202F>h, whereas only 16.3% of the activity was left in free form under the same conditions. The conversion yield of XOS by using immobilized EXLX-R2-XYN reached up to 515<U+202F>mg/g xylan from 2% corncob extracted xylan, which was higher than that of the free enzyme. The hydrolysis products were mainly xylobiose (57.5%) and xylotriose (38.4%), without undesirable xylose production. After five cycles of hydrolysis, more than 70% of conversion was obtained.","Endoxylanase,Expansin,Fusion enzyme,Bio-affinity immobilization,Corncob residue,Xylooligosaccharides","BinWua,QiYua,SiyuanChangb,Marcelo MonteiroPedrosoc,ZhenGaoa,BingfangHeb,GerhardSchenkc","Food Chemistry","https://doi.org/10.1016/j.foodchem.2019.01.004","https://www.sciencedirect.com/science/article/pii/S0308814619300251"
