"Title","Abstract","Keywords","Authors","Journal","DOI","URL"
"A11","Interdisciplinarity as diversity in citation patterns among journals: Rao-Stirling diversity, relative variety, and the Gini coefficient","Questions of definition and measurement continue to constrain a consensus on the measurement of interdisciplinarity. Using Rao-Stirling (RS) Diversity sometimes produces anomalous results. We argue that these unexpected outcomes can be related to the use of “dual-concept diversity” which combines “variety” and “balance” in the definitions (ex ante). We propose to modify RS Diversity into a new indicator (DIV) which operationalizes “variety,” “balance,” and “disparity” independently and then combines them ex post. “Balance” can be measured using the Gini coefficient. We apply DIV to the aggregated citation patterns of 11,487 journals covered by the Journal Citation Reports 2016 of the Science Citation Index and the Social Sciences Citation Index as an empirical domain and, in more detail, to the citation patterns of 85 journals assigned to the Web-of-Science category “information science & library science” in both the cited and citing directions. We compare the results of the indicators and show that DIV provides improved results in terms of distinguishing between interdisciplinary knowledge integration (citing references) versus knowledge diffusion (cited impact). The new diversity indicator and RS diversity measure different features. A routine for the measurement of the various operationalization of diversity (in any data matrix) is made available online.","Interdisciplinary,Diversity,Journal,Gini,Variety,Rao-Stirling","LoetLeydesdorffa,Caroline S.Wagnerb,LutzBornmannc","Journal of Informetrics","https://doi.org/10.1016/j.joi.2018.12.006","https://www.sciencedirect.com/science/article/pii/S1751157718303535"
"A12","A bibliometric analysis of the research dealing with the impact of additive manufacturing on industry, business and society","In this paper, we provide an extensive bibliometric review of the literature dealing with the impact of AM on industry, business and society, by mapping prior research in the field, across a wide spectrum of journals. The analysis illustrates the evolution of AM research over the last few decades, the main outlets for publication, the level of concentration or fragmentation of the scientific community, the geographical density of the research collaborations and the employed methodologies. We also disentangle the main topics that have been addressed by the community of scholars debating the impact of AM and depict the current knowledge base on which AM research is grounded.","","FedericoCaviggiolia,ElisaUghettoab","International Journal of Production Economics","https://doi.org/10.1016/j.ijpe.2018.11.022","https://www.sciencedirect.com/science/article/pii/S0925527318304730"
"A13","International research collaboration: An emerging domain of innovation studies?","International research collaboration (IRC) has been increasingly important as an emerging area of innovation studies. This study reviews the intellectual base, main research trajectories and intellectual communities of the IRC research domain over the period 1957–2015. It integrates qualitative review and three quantitative analyses including co-citation network analysis, main path analysis and bibliographic coupling analysis. The results show that the IRC research has gone through three phases, namely, “emergence” (1957–1991), “fermentation” (1992–2005) and “take-off” (2006–2015) phases. The co-citation network analysis confirms that the IRC research field has been developed under the influence of two pioneering studies related to bibliometrics research. The main research trajectories in IRC studies over the three development phases and over the whole period are identified based on the main path analysis, which shows that co-authorship analysis is the main research method in IRC studies. A bibliographic coupling analysis suggests that the whole IRC research domain can be classified into five distinct intellectual areas: drivers of IRC, IRC patterns, IRC effects, IRC networks and IRC measurement. Seven topics for future research are also identified.","International research collaboration,Evolution and future research agenda,Co-citation network analysis,Main path analysis,Bibliographic coupling analysis","KaihuaChenad1,YiZhangb1,XiaolanFuc1","Research Policy","https://doi.org/10.1016/j.respol.2018.08.005","https://www.sciencedirect.com/science/article/pii/S0048733318301926"
"A14","Healthy aging: A bibliometric analysis of the literature","Due to dramatic growth of the aging population worldwide, there has been an urgent call for a public health strategy to manage healthy aging, with the ultimate goal being advancement of aging research. Considerable progress has been made in uncovering the mystery of aging process using multidisciplinary methods. There is a growing consensus in the field that aging traits which were originally thought to be disparate are likely to be interconnected. Thus, emerging research is needed to incorporate current findings of aging by building multiscale network models. This study reported the network of healthy aging research using bibliometric approaches. Based on the results, aging of the brain and muscle is a primary research focus which is a critical part of the multiscale network regulating the aging process. Among aging-associated diseases, Alzheimer's disease and frailty are among the main research focuses, and emerging work has focused on developing diagnostic tools for these diseases. For research on anti-aging interventions, calorie restriction, physical activity, and anti-aging pharmacology are the main interventions, of which the underlying mechanisms have been comprehensively studied in animal models.","Healthy aging,Neuropsychological assessment,Alzheimer's disease,Calorie restriction,Physical activity,Frailty","Yao-HuaGua,Jin-BingBaib,Xiao-LiChenc,Wen-WenWua,Xiang-XiangLiua,Xiao-DongTana","Experimental Gerontology","https://doi.org/10.1016/j.exger.2018.11.014","https://www.sciencedirect.com/science/article/pii/S0531556518304637"
"A15","Forecasting technology trends using text mining of the gaps between science and technology: The case of perovskite solar cell technology","How to detect and identify the future trends of emerging technologies as early as possible is crucial for government R&D strategic planning and enterprises' practices. To avoid the weakness of using only scientific papers or patents to study the development trends of emerging technologies, this paper proposes a framework that uses scientific papers and patents as data resources and integrates the text mining and expert judgment approaches to identify technology evolution paths and forecast technology development trends within the short term. The perovskite solar cell technology is selected as a case study. In this case, the text mining and expert judgment methods are applied to analyze the technology evolution path, and gaps analysis between science and technology is used to forecast the technology development trend. This paper will contribute to the technology forecasting and foresight methodology, and will be of interest to solar photovoltaic technology R&D experts.","Technology trend,Technology forecasting,Text mining,Perovskite solar cell technology","XinLia,QianqianXiea,TugrulDaimbcd,LuchengHuanga","Technological Forecasting and Social Change","https://doi.org/10.1016/j.techfore.2019.01.012","https://www.sciencedirect.com/science/article/pii/S0040162517316347"
"A16","Expert forecast and realized outcomes in technology foresight","Contrary to what happens in forecasting, in which the repetitive nature of events lends itself to the ex post validation of expert judgments, it is usually very difficult to compare directly the forecast of technology foresight studies with realized outcomes. When the comparison is feasible, therefore, there is large opportunity for learning and methodological refinement. The authors of this study had the opportunity to re-examine the findings of a technology foresight exercise on the medical device industry with realized technological performance, five years later. Among the findings of the comparison exercise, intriguing false positive as well as false negative cases have been identified. The paper suggests that these cases are due to specific cognitive and motivational biases of experts and examines the way in which they are at work in the foresight process. It argues that these biases are due to the inability of experts to reason systematically in abstract (or “functional”) terms during the whole foresight process. It also suggests a methodology to mitigate the biases and to manage the emergence of false positives and false negatives.","Expert forecast,Medical device industry,Cognitive biases,Abstract reasoning,Failure mode analysis,Functional analysis","RiccardoApredaa,AndreaBonaccorsibd,Felicedell'Orlettac,GualtieroFantonib","Technological Forecasting and Social Change","https://doi.org/10.1016/j.techfore.2018.12.006","https://www.sciencedirect.com/science/article/pii/S0040162518309776"
"A17","Networks of innovation: the sociotechnical assemblage of tabletop computing","We theorize on the heterogonous network of people, visions, concepts, technological artifacts, and organizations that come together to enable product innovation. Drawing on the conceptual framing and mechanisms of actor-network theory (ANT), we focus on the relationships among human and non-human actors and their roles to enact new products. We do this to contribute both evidence and theory regarding the concept of a sociotechnical assemblage that serves as the innovation network. Advancing a sociotechnical conceptualization of innovation focuses attention on the contributions of, and linkages among, different types of actors; individuals and organizations, visions and concepts, and technological artifacts and prototypes together create a means for innovation to occur. The empirical basis for this theorizing comes from a detailed study of the community of research scientists, faculty, and graduate students; institutions such as research labs, funding sources, and product companies who were (and mostly still are) involved in tabletop computing. Analysis highlights the centrality of visions, concepts and technological artifacts in the innovation network. We also find that formal organizations play important, but often unrealized, roles in supporting innovation.","Innovation network,Actor-network theory,Sociotechnical assemblage,Tabletop computing","Mohammad HosseinJarrahia1,SteveSawyerb1","Research Policy: X","https://doi.org/10.1016/j.repolx.2018.100001","https://www.sciencedirect.com/science/article/pii/S259014511830001X"
"A18","Implementation of lean practices in the construction industry: A systematic review","The implementation of lean principles and approaches is gaining grounds in the construction industry globally. However, there is no clear understanding of the number and categories of lean practices implemented and the benefits associated with it in the planning, design and construction of building and infrastructure projects. This paper relied on a systematic review of published literature in Scopus, Science Direct and Google Scholar to identify and categorize the different lean practices implemented in the construction industry and the benefits derivable from them. Totally, 102 documents published between 1996 and 2018 were reviewed and their contents analyzed using descriptive statistics and content analysis. A total of 32 different lean practices categorised into design and engineering; planning and control; construction and site management; and health and safety management were identified. The review also found that the last planner system and just-in-time were the top two most implemented lean practices and about 20 different economic, social and environmental benefits were linked to the implementation of lean practices in the construction industry. This review is instructive that lean practices have good prospects for enhancing the productivity of the construction industry and achieving sustainable built environment, but a critical mass uptake and sustained implementation are required to attain these goals.","Construction industry,Lean construction practice,Lean principles,Systematic review","OluwatosinBabalola,Eziyi O.Ibem,Isidore C.Ezema","Building and Environment","https://doi.org/10.1016/j.buildenv.2018.10.051","https://www.sciencedirect.com/science/article/pii/S0360132318306760"
"A19","A bibliometric analysis of extended key account management literature","Key account management (KAM) has played an important role in business, and this study reviews key account management research using bibliometric techniques. This review includes 373 KAM relevant articles published in 68 journals between 1979 and 2016. In our analysis, we extend the discussion on KAM literature by highlighting areas such as the roles of technology and conflict as well as relationship planning and implementation. We discuss the value of co-creation, inter-organizational design elements, and dyad-level performance measures. We examine five distinctive time-periods and find that KAM relevant literature has progressed 1) from selling and relationship-building approaches to key network management, 2) from network innovation to governance, 3) from network-level performance to co-creation of business solutions and values, 4) from product and service performance to incorporating sustainability. Finally, we present the fifth transition based on a network-view of KAM and identify future research aimed at integrating areas such as network-based orientation, applications of organizational theories, organizational innovativeness, network competence for optimal structure and processes, network-based KAM teams, value-sharing mechanisms, co-created value measurement, and value sustenance within networks. We identify areas of future research and expect the adoption and application of key account management concepts to grow across multiple disciplinary fields.","Key account management,Bibliometrics,Document co-citation analysis,Network view,Trends and directions for future research","PrashantKumara,ArunSharmab,JariSaloc","Industrial Marketing Management","https://doi.org/10.1016/j.indmarman.2019.01.006","https://www.sciencedirect.com/science/article/pii/S0019850118304954"
"A20","Opinion leader detection: A methodological review","A social network as an essential communication platform facilitates the interactions of online users. Based on the interactions, users can influence or be affected by the opinions of others. The users being able to influence and shape the opinions of others are considered as opinion leaders. The problem of identifying opinion leaders is an important task due to its wide applications in reality, including product adoption for marketing and societal analytics. The problem has been attracting proliferating studies over the recent years. To overview and provide insights of the methodologies and enlighten the future study, we review the well-known techniques for opinion leader detection problems. These techniques are classified into descriptive approaches, statistical and stochastic methods, diffusion process based approaches, topological based methods, data mining and learning methods, and approaches based on hybrid content mining. The advantages and drawbacks of each method are systematically analyzed and compared, to provide deep understanding into the existing research challenges and the direction of future trends. The findings of this review would be useful for those researchers are interested in identifying opinion leaders and influencers in social networks and related fields.","Opinion leader,Social network analysis,Flow of influence,Influential users/nodes,Graph mining","Seyed Mojtaba HosseiniBamakana,IldarNurgalievab,QiangQua","Expert Systems with Applications","https://doi.org/10.1016/j.eswa.2018.07.069","https://www.sciencedirect.com/science/article/pii/S0957417418304950"
"A21","Renewable energy source integration into power networks, research trends and policy implications: A bibliometric and research actors survey analysis","This article studies the integration of variable renewable energy sources (RES) into power networks. The main goal is to confront the contents and trends of scientific literature with the eyes and projects of researchers on future topics and issues to be solved, especially in terms of the modeling of electrical systems. The analysis relies on a bibliometric study of the Scopus database on the topic and on an online survey sent to the corresponding authors of the identified papers. The paper analyzes the dynamics of publication, clusters of collaboration, and main topics studied. It then identifies potential research leads, among which unresolved challenges regarding technical aspects, markets and financing issues, and social aspects. The disparity of models and results is still a necessary evil as research is not mature enough to integrate in one model all the very complex parameters of VRE integration into power systems. There is a lack of recurrence, though, such as the impact of emergent technologies or the development of substitute low carbon-emitting technology (other than solar and wind), need to be addressed. The paper also advocates the need for a systemic vision, for both research and policymakers that goes beyond the sole power system.","Q42,Q48,Q55,Keywords,Variable renewable energy,Bibliometric analysis,Scenario,Survey,Power network,Policy","EmmanuelHacheade,AngéliquePallebc","Energy Policy","https://doi.org/10.1016/j.enpol.2018.09.036","https://www.sciencedirect.com/science/article/pii/S0301421518306499"
"A22","A systematic literature review and classification of knowledge discovery in traditional medicine","Introduction and ObjectiveDespite the importance of machine learning methods application in traditional medicine there is a no systematic literature review and a classification for this field. This is the first comprehensive literature review of the application of data mining methods in traditional medicine.,MethodWe reviewed 5 database between 2000 to 2017 based on the Kitchenham systematic review methodology. 502 articles were identified and reviewed for their relevance to application of machine learning methods in traditional medicine, 42 selected papers were classified and categorized on four dimension; 1) application domain of data mining techniques in traditional medicine; 2) the data mining methods most frequently used in traditional medicine; 3) main strength and limitation of data mining techniques in traditional medicine; 4) the performance evaluation methods in data mining methods in traditional medicine.,ResultThe result obtained showed that main application domain of data mining techniques in traditional medicine was related to syndrome differentiation. Bayesian Networks (BNs), Artificial Neural Networks (ANNs) and Support Vector Machines (SVMs) were recognized as being the methods most frequently applied in traditional medicine. Furthermore, each data mining techniques has its own strength and limitations when applied in traditional medicine. Single scaler methods were frequently used for performance evaluation of data mining methods.,ConclusionMachine learning methods have become an important research field in traditional medicine. Our research provides information about this methods by examining the related articles.","Data mining,Traditional medicine,Knowledge discovery,Machine learning","GoliArjia,RezaSafdaria,HosseinRezaeizadehb,AlirezaAbbassianb,MehrshadMokhtaranc,MohammadHossein Ayatib","Computer Methods and Programs in Biomedicine","https://doi.org/10.1016/j.cmpb.2018.10.017","https://www.sciencedirect.com/science/article/pii/S0169260718312859"
"A23","Trends on enzyme immobilization researches based on bibliometric analysis","In this survey, a bibliometric analysis of the global scientific production on enzyme immobilization researches was developed using Web of Science© database. The time-span comprised the period from 1991 to 2017. A total of 9636 documents related to the subject were retrieved and analyzed according to seven main aspects: publication years, journals, countries, authors, organizations, keywords, and Web of Science categories. The results indicated that the countries with the highest number of publications were China and the United States. The most expressive international collaborative networks were evidenced between Brazil and Spain and between the USA and China. Additionally, the Spanish researchers were the ones that contributed most to this domain, while the Consejo Superior de Investigaciones Científicas and the Chinese Academy of Sciences were the most emblematic organizations. Finally, the analysis of keywords revealed that biosensor, lipase and glucose oxidase were the most cited terms among all publications, and also indicated the existence of a possible knowledge gap involving the terms Escherichia coli, Candida rugosa lipase and cytochrome-c in the context of enzyme immobilization. This study was efficient to evaluate the trends of the body of literature on enzyme immobilization research, subsidizing future decision-making in this field of science.","Bibliometric map,Enzymatic immobilization,VOSviewer","Maria Carolina PereiraGonçalvesa,Theo GuenterKieckbuscha,Rafael FirmaniPernaa,Jaqueline TomiêFujimotob,Sergio Andres VillalbaMoralesa,João PauloRomanellic","Process Biochemistry","https://doi.org/10.1016/j.procbio.2018.09.016","https://www.sciencedirect.com/science/article/pii/S1359511318308511"
"A24","Abstracts","","","","Fuel and Energy Abstracts","https://doi.org/10.1016/j.fueleneab.2018.11.002","https://www.sciencedirect.com/science/article/pii/S0140670118300444"
"A25","Emergence of DSS efforts in genomics: Past contributions and challenges","Large amounts of data in biomedical research (from clinical data to gene expression data) are being generated. Use of these data sets and their associated knowledge are essential to understand the biological mechanisms behind diseases. While patients' clinical data from EHR can help researchers accurately and appropriately trace the performance of various kinds of medicines on the patients, the microarray data for the same pool of patients can contain valuable information for discovery of disease-associated gene expression patterns and can help classify the patients. However, research in the area of integrating genomic data with clinical data is still in its infancy and is riddled with many challenges. Even though data and knowledge sets are easily available from genome sequences and protein structural data of organisms, they usually are of many different varieties. Integrating them for a better understanding of biological functions at all levels is complicated. If we want to obtain the full benefit of functional genomics, we need to find a seamless way to integrate large amounts of patient datasets with genomic datasets in the field of biomedicine. Few papers in the decision support systems (DSS) literature provide an overview of Genomic Clinical Decision Support (GCDS) challenges that span data, knowledge, input/output, and architecture/implementation. This paper presents a unique effort dedicated to providing a comprehensive listing and a concise description of the DSS methodological challenges that arise from integrating complex and massive-scale genomic data with Clinical Decision Support (CDS) systems.","Genomics,Decision support system,Clinical decision support,Data integration,Knowledge base integration,Decision support system architecture","ArunSena,AhmadAl Kawamb,AniruddhaDattab","Decision Support Systems","https://doi.org/10.1016/j.dss.2018.10.011","https://www.sciencedirect.com/science/article/pii/S0167923618301684"
